Time, Ambient, Target, Weight
542, 29.15, 26.35, 1239690.00
543, 29.17, 26.29, 1239375.00
543, 29.15, 26.21, 1240191.00
544, 29.09, 26.11, 1280546.00
545, 29.09, 26.23, 1321707.00
546, 29.15, 26.27, 1321334.00
547, 29.13, 26.31, 1321306.00
548, 29.13, 26.27, 1321318.00
548, 29.05, 26.35, 1321384.00
549, 29.09, 26.35, 1321315.00
550, 29.05, 26.31, 1321386.00
551, 29.09, 26.41, 1321349.00
552, 29.09, 26.31, 1323355.00
553, 29.09, 26.35, 1321563.00
554, 29.09, 26.41, 1321858.00
554, 29.07, 26.43, 1321984.00
555, 29.09, 26.31, 1321669.00
556, 29.07, 26.41, 1321933.00
557, 29.07, 26.35, 1321538.00
558, 29.09, 26.35, 1332086.00
559, 29.07, 26.41, 1321590.00
559, 29.09, 26.41, 1321734.00
560, 29.09, 26.41, 1321686.00
561, 29.07, 26.35, 1321756.00
562, 29.07, 26.31, 1321636.00
563, 29.09, 26.41, 1321471.00
564, 29.13, 26.35, 1320801.00
564, 29.13, 26.43, 1321321.00
565, 29.13, 26.35, 1325597.00
566, 29.09, 26.31, 1322690.00
567, 29.09, 26.31, 1322958.00
568, 29.09, 26.47, 1322134.00
569, 29.13, 26.37, 1322445.00
569, 29.09, 26.41, 1322327.00
570, 29.13, 26.31, 1322379.00
571, 29.09, 26.41, 1322424.00
572, 29.07, 26.29, 1322333.00
573, 29.09, 26.31, 1322553.00
574, 29.09, 26.35, 1322500.00
574, 29.09, 26.31, 1322526.00
575, 29.07, 26.35, 1322438.00
576, 29.07, 26.37, 1322443.00
577, 29.09, 26.43, 1322481.00
578, 29.13, 26.35, 1322465.00
579, 29.13, 26.37, 1322615.00
579, 29.09, 26.29, 1322184.00
580, 29.09, 26.35, 1321416.00
581, 29.09, 26.29, 1323166.00
582, 29.09, 26.31, 1322385.00
583, 29.09, 26.41, 1318543.00
584, 29.13, 26.37, 1323397.00
584, 29.09, 26.41, 1321755.00
585, 29.15, 26.41, 1320962.00
586, 29.09, 26.35, 1322077.00
587, 29.13, 26.47, 1323339.00
588, 29.09, 26.41, 1321336.00
589, 29.09, 26.43, 1323800.00
589, 29.13, 26.35, 1321457.00
590, 29.09, 26.43, 1324370.00
